Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,23.639999,23.790001,23.049999,23.07,15.978562,64246900
2005-01-04,23.190001,23.209999,22.35,22.610001,15.659962,93729100
2005-01-05,22.469999,22.780001,22.370001,22.389999,15.507592,73848800
2005-01-06,22.58,22.73,22.41,22.459999,15.556066,63440900
2005-01-07,22.73,22.93,22.469999,22.799999,15.791565,82523000
2005-01-10,22.91,23.02,22.75,22.879999,15.84697,65393900
2005-01-11,22.709999,22.780001,22.4,22.540001,15.611481,114083400
2005-01-12,23.219999,23.33,22.870001,23.16,16.040897,143219700
2005-01-13,23.110001,23.209999,22.75,22.82,15.80541,73856600
2005-01-14,22.959999,23.129999,22.9,23.02,15.943937,65148200
2005-01-18,22.870001,22.950001,22.639999,22.940001,15.888521,63728200
2005-01-19,22.959999,22.969999,22.549999,22.6,15.653037,71776900
2005-01-20,22.52,22.83,22.4,22.58,15.639182,68547100
2005-01-21,22.58,22.709999,22.379999,22.42,15.528363,80971200
2005-01-24,22.49,22.540001,21.889999,21.99,15.230539,83759500
2005-01-25,22.219999,22.540001,22.17,22.26,15.417543,94826800
2005-01-26,22.49,22.59,22.299999,22.42,15.528363,69891500
2005-01-27,22.379999,22.52,22.17,22.309999,15.452179,78986900
2005-01-28,22.35,22.57,22.08,22.24,15.403696,76572300
2005-01-31,22.450001,22.549999,22.27,22.450001,15.549141,60540400
2005-02-01,22.49,22.75,22.389999,22.629999,15.673818,67031800
2005-02-02,22.66,22.76,22.5,22.58,15.639182,73565400
2005-02-03,22.49,22.639999,22.17,22.379999,15.555774,60735900
2005-02-04,22.379999,23.02,22.370001,23.0,15.986718,67594800
2005-02-07,22.93,23.18,22.879999,22.91,15.924158,53757300
2005-02-08,22.950001,23.5,22.93,23.41,16.2717,85233700
2005-02-09,23.42,23.48,23.16,23.299999,16.19524,69909500
2005-02-10,23.440001,23.59,23.219999,23.5,16.334259,74162700
2005-02-11,23.23,24.34,23.18,24.17,16.799963,101956900
2005-02-14,24.040001,24.389999,24.0,24.309999,16.897263,59197400
2005-02-15,24.190001,24.629999,24.16,24.469999,17.008482,80599700
2005-02-16,24.309999,24.4,24.129999,24.139999,16.779106,85307400
2005-02-17,24.200001,24.32,23.549999,23.629999,16.424616,80239800
